Window,Num threads,Num Variables,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
608,1,2,3,2,1,10,7,0.005,true
609,1,1,2,1,1,10,7,0.005,true
610,1,2,4,2,1,10,7,0.005,true
611,1,3,3,2,1,10,7,0.004,true
612,1,2,4,2,1,10,7,0.005,true
613,1,3,3,2,1,10,7,0.005,true
614,1,1,1,2,1,10,7,0.005,true
615,1,2,5,2,1,10,7,0.005,true
616,1,3,4,2,1,10,7,0.005,true
617,1,2,4,1,1,10,7,0.005,true
618,1,3,2,2,1,10,7,0.005,true
619,1,1,1,1,1,10,7,0.005,true
620,1,2,4,2,1,10,7,0.005,true
621,1,3,3,3,1,10,7,0.005,true
622,1,3,3,1,1,10,7,0.005,true
623,1,3,3,2,1,10,7,0.005,true
624,1,1,2,1,1,10,7,0.005,true
625,1,2,3,2,1,10,7,0.005,true
